id,listing_url,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
731764,https://www.airbnb.com/rooms/731764,17,6,0,03/12/2018,02/03/2024,4.88,4.94,5,4.88,4.88,4.82,4.76,,f,6,6,0,0,0.25
731882,https://www.airbnb.com/rooms/731882,31,6,1,05/04/2015,01/06/2024,4.94,4.97,4.87,4.94,4.87,5,4.84,,f,6,6,0,0,0.28
282606,https://www.airbnb.com/rooms/282606,50,7,0,31/01/2013,28/05/2024,4.93,4.83,4.83,4.89,4.92,4.67,4.79,,f,4,0,4,0,0.36
283053,https://www.airbnb.com/rooms/283053,66,0,0,13/01/2012,27/02/2023,4.82,4.81,4.81,4.95,4.83,4.78,4.83,,t,2,2,0,0,0.43
732339,https://www.airbnb.com/rooms/732339,58,1,0,27/03/2015,11/07/2023,4.86,4.93,4.88,4.91,4.91,4.91,4.9,,t,3,3,0,0,0.51
732409,https://www.airbnb.com/rooms/732409,53,1,0,24/10/2012,26/11/2023,4.84,4.94,4.94,4.94,4.96,4.87,4.83,,t,3,3,0,0,0.37
286894,https://www.airbnb.com/rooms/286894,45,21,2,29/12/2011,21/06/2024,4.95,4.86,4.95,4.89,4.93,4.91,4.89,,f,2,2,0,0,0.3
736534,https://www.airbnb.com/rooms/736534,96,17,2,24/01/2016,02/06/2024,4.88,4.8,4.92,4.96,4.88,5,4.86,,f,20,15,5,0,0.94
742345,https://www.airbnb.com/rooms/742345,28,12,1,19/08/2019,02/06/2024,4.25,4.07,4.18,4.32,4.39,4.64,4.14,,t,83,82,1,0,0.47
743795,https://www.airbnb.com/rooms/743795,4,4,0,03/02/2024,04/03/2024,5,5,5,5,5,5,5,,f,1,1,0,0,0.81
287211,https://www.airbnb.com/rooms/287211,25,3,0,19/12/2013,02/05/2024,4.84,4.88,4.92,4.92,4.83,4.92,4.67,,f,1,1,0,0,0.2
751785,https://www.airbnb.com/rooms/751785,14,0,0,08/08/2013,02/09/2022,4,4.17,4.38,3.31,4,4.62,4.23,,t,80,80,0,0,0.11
754780,https://www.airbnb.com/rooms/754780,0,0,0,,,,,,,,,,,f,1,0,1,0,
291205,https://www.airbnb.com/rooms/291205,22,4,0,04/02/2013,16/04/2024,4.85,4.86,4.91,4.91,4.91,4.82,4.86,,f,1,1,0,0,0.16
759767,https://www.airbnb.com/rooms/759767,19,2,0,17/01/2013,28/01/2024,4.74,4.95,4.53,4.89,4.74,4.89,4.79,,f,1,1,0,0,0.14
292170,https://www.airbnb.com/rooms/292170,6,0,0,26/02/2015,18/11/2022,5,4.5,5,5,5,4.8,5,,f,2,0,2,0,0.05
768582,https://www.airbnb.com/rooms/768582,12,1,0,03/01/2013,28/03/2024,4.82,4.67,4.58,4.92,4.75,4.83,4.75,,f,1,1,0,0,0.09
1044351,https://www.airbnb.com/rooms/1044351,2,0,0,05/01/2014,09/12/2021,4,3.5,3.5,5,5,5,3.5,,t,22,19,1,0,0.02
771176,https://www.airbnb.com/rooms/771176,275,11,0,09/12/2012,16/03/2024,4.91,4.9,4.91,4.97,4.96,4.88,4.91,,t,1,1,0,0,1.95
1046677,https://www.airbnb.com/rooms/1046677,6,0,0,25/02/2016,26/02/2023,4.67,4.67,4.67,4.67,4.5,4.83,4.67,,t,22,19,1,0,0.06
776601,https://www.airbnb.com/rooms/776601,4,1,0,31/12/2016,02/01/2024,4.5,5,4.25,5,4.5,5,4.5,,f,3,3,0,0,0.04
778089,https://www.airbnb.com/rooms/778089,18,3,0,27/03/2013,11/02/2024,4.89,4.83,4.78,5,5,5,4.67,,f,3,3,0,0,0.13
1047449,https://www.airbnb.com/rooms/1047449,6,0,0,20/09/2015,23/02/2023,4.5,4.33,4.83,4.67,4.67,4.33,4.5,,t,22,19,1,0,0.06
782166,https://www.airbnb.com/rooms/782166,31,6,0,03/01/2013,23/02/2024,4.87,4.77,4.9,4.74,4.97,4.94,4.87,,t,4,3,1,0,0.22
782208,https://www.airbnb.com/rooms/782208,187,7,0,05/01/2013,15/02/2024,4.89,4.92,4.88,4.94,4.96,4.92,4.86,,t,4,3,1,0,1.34
790177,https://www.airbnb.com/rooms/790177,2,0,0,01/01/2018,07/03/2023,5,5,5,5,5,4.5,5,,f,1,1,0,0,0.03
1049807,https://www.airbnb.com/rooms/1049807,14,0,0,20/01/2014,31/07/2022,4.21,4.14,4.5,4,4.5,4.71,4.5,,t,22,19,1,0,0.11
795400,https://www.airbnb.com/rooms/795400,6,0,0,26/12/2014,07/01/2019,4.33,4.67,4.67,4.83,4.67,4.33,4.33,,f,1,1,0,0,0.05
1049961,https://www.airbnb.com/rooms/1049961,26,3,0,23/08/2014,30/03/2024,4.42,4.46,4.54,4.15,4.31,4.81,4.46,,t,22,19,1,0,0.22
795614,https://www.airbnb.com/rooms/795614,19,3,0,04/01/2014,14/02/2024,4.78,4.78,4.95,4.84,4.89,4.94,4.63,,f,1,1,0,0,0.15
1050007,https://www.airbnb.com/rooms/1050007,10,2,0,24/02/2016,07/02/2024,4.6,4.4,4.6,4.9,4.8,4.6,4.4,,t,22,19,1,0,0.1
800546,https://www.airbnb.com/rooms/800546,97,12,0,19/02/2015,09/04/2024,4.91,4.96,4.85,4.96,4.96,4.88,4.81,,f,11,11,0,0,0.85
800623,https://www.airbnb.com/rooms/800623,108,13,1,22/02/2015,17/06/2024,4.93,4.94,4.85,4.92,4.96,4.99,4.79,,f,11,11,0,0,0.95
801953,https://www.airbnb.com/rooms/801953,37,0,0,22/09/2014,30/09/2022,4.81,4.78,4.7,4.76,4.7,4.65,4.76,,t,1,1,0,0,0.31
1058642,https://www.airbnb.com/rooms/1058642,289,51,1,18/12/2015,22/06/2024,4.96,4.91,4.94,4.98,4.99,4.93,4.87,,f,1,1,0,0,2.78
801981,https://www.airbnb.com/rooms/801981,25,5,0,07/01/2014,28/03/2024,4.96,4.96,4.83,5,5,4.92,4.79,,f,1,1,0,0,0.2
